企业代号,企业名称,信誉评级,是否违约,TOPSIS安全度,Logistic违约概率,融合违约风险,是否放贷,贷款额度_万元,贷款年利率,客户流失率,预期损失_万元,预期净收益_万元
E2,***技术有限责任公司,A,否,0.7771994941687593,2.840795045485808e-07,0.022280306254678157,是,97,0.0745,0.511096611982035,0.6339677818542183,2.8203748854107062
E8,***科学研究院有限公司,A,否,0.7645798852726393,1.2823855506447732e-06,0.023543165619731642,是,97,0.0745,0.511096611982035,0.6699014059842134,2.779979502951237
E6,***装饰设计工程有限公司,A,否,0.6882807630989027,1.7695410967708702e-05,0.03118784955998066,是,96,0.0745,0.511096611982035,0.8782758901364626,2.5093085512760784
E13,***汽车贸易有限公司,A,否,0.673319323376492,0.00019392373466211872,0.03284259902354669,是,95,0.0745,0.511096611982035,0.9152409022338666,2.4313304144359082
E14,个体经营E14,C,否,0.6634634053547465,0.0007618484361522702,0.03433932305706239,是,95,0.0905,0.590097044735418,0.8023200301638791,2.600804023173646
E9,***生活用品服务有限公司***分公司,A,否,0.6431998133124439,0.00023160648513487368,0.035888464505376985,是,95,0.0745,0.511096611982035,1.0001215375841532,2.335910433529628
E10,***建筑劳务有限公司,B,否,0.6409460053304621,0.0009218481415022806,0.036735062794305835,是,95,0.0825,0.548493957592387,0.9454078607315742,2.463277165787502
E7,***家电有限公司***分公司,A,否,0.6246385534963242,1.6775059151137846e-07,0.037536295625899926,是,95,0.0745,0.511096611982035,1.0460424599933444,2.2842876632546294
E17,***消防工程有限公司,A,否,0.6565774608136666,0.00631418265866061,0.04002501831142788,是,94,0.0745,0.511096611982035,1.103655902067713,2.1830972497153542
E19,***科技有限公司,A,否,0.6191610229501598,0.006511532407257342,0.043944276871515614,是,94,0.0745,0.511096611982035,1.2117261297416682,2.061608302105216
E23,***贸易有限公司,B,否,0.5533111704919634,0.0007070120372875548,0.045305193784362444,是,94,0.0945,0.635605146297822,0.9311064416004888,2.159163779283881
E5,***供应链管理有限公司,B,否,0.6127564044919976,0.007378359618440796,0.04536488320739694,是,94,0.0945,0.635605146297822,0.932333170848075,2.1577438401798
E1,***电器销售有限公司,A,否,0.5351835373520888,2.4772575890917957e-05,0.04650394158309294,是,94,0.0985,0.708302023264193,0.7650719597896002,1.8101602934084444
E18,***消防工程有限责任公司,A,否,0.6318399674790098,0.011527242232082856,0.047190521260973575,是,94,0.0985,0.708302023264193,0.7763674079134818,1.7970105092175588
E4,***发展有限责任公司,C,否,0.5238026539416988,2.0636473685114558e-06,0.047621591888461774,是,94,0.0905,0.590097044735418,1.1009410424709158,2.2200447907255194
E3,***电子(中国)有限公司***分公司,C,否,0.5218849678581625,4.514055014740175e-06,0.04781556586369701,是,94,0.0905,0.590097044735418,1.1054254349920205,2.2148840023324823
E12,***建筑劳务有限公司,B,否,0.5488671232184099,0.016186638483484048,0.05968126231329464,是,92,0.1065,0.705315992511251,0.9708086679858838,1.7441866988213843
E11,***建设工程有限公司,C,否,0.6010243745693051,0.02956218524878986,0.06650352926698036,是,91,0.1105,0.71110123661152,1.0490181901945315,1.6628091416975024
E24,***建筑工程有限公司,A,否,0.60845971421213,0.0365458270478657,0.07204527292186613,是,91,0.1225,0.814421028872806,0.7300067842386123,1.189691744619733
E21,***建设工程有限公司,B,否,0.5953937431546021,0.036523808934343316,0.07333205372544876,是,90,0.1185,0.762022595008955,0.9423740798052944,1.409536063662655
E20,***贸易有限公司,B,否,0.5973186350310224,0.04298556625015128,0.0789551461220339,是,90,0.1185,0.762022595008955,1.0146352023797616,1.3230033693797305
E16,***建筑劳务有限公司,A,否,0.6029320479449278,0.04433039980620976,0.079604155031096,是,90,0.1225,0.814421028872806,0.7977342881585038,1.085403118019782
E47,***控制设备有限责任公司,C,否,0.5949512915338162,0.04828503307755901,0.08396140061642149,是,89,0.1425,0.836974325775867,0.7309319346253345,1.1630448442487158
E27,***农业开发有限公司,A,否,0.5427809250049048,0.04649309607995132,0.0875656939714657,是,89,0.1225,0.814421028872806,0.8677687644002624,0.9783365122489167
E75,***酒店管理有限公司,C,否,0.5982002372337785,0.0627470435876267,0.09665231550548617,是,88,0.1425,0.836974325775867,0.8319595099519709,1.0147920612050643
E40,***财税咨询服务有限公司,C,否,0.6102946176130611,0.06472541477427535,0.09722341153554169,是,87,0.1425,0.836974325775867,0.8273654176726964,0.9972460918237273
E15,***劳务有限公司,A,否,0.49725445469194657,0.053225424745684854,0.0981774368019217,是,87,0.1425,0.874434681686885,0.6435049535869893,0.760358653722944
E30,***建筑工程有限公司,B,否,0.48672016947353086,0.07145974176355306,0.11564175063984466,是,85,0.1425,0.842070843722875,0.9314234095569778,0.7602804360799165
E49,***地球环保科技有限公司,C,否,0.5828398429899702,0.08230540313843451,0.11579087852559404,是,85,0.1425,0.836974325775867,0.9627211880726225,0.7832810087999411
E54,***新技术开发有限公司,A,否,0.6120470061244486,0.09069373122993728,0.12041965749449868,是,85,0.1425,0.874434681686885,0.7711471638471037,0.5666153028068147
E31,***食品有限公司,A,否,0.49506150542079785,0.08348581581398566,0.1256310836905073,是,84,0.1425,0.874434681686885,0.795055313486455,0.5191359097684987
E63,***科技有限公司,B,否,0.4541321413658805,0.0836657327800668,0.12988594536547204,是,84,0.1425,0.842070843722875,1.033843999296818,0.6110300515073739
E46,***广告传媒有限公司,C,否,0.5960310866656393,0.11962840995015805,0.1480624602885783,是,81,0.15,0.895164738662031,0.7543773025286146,0.3307767970955559
E45,个体经营E45,B,是,0.5238730709928483,0.14958812352713624,0.18224200407513777,是,77,0.15,0.885864918999995,0.9609695124284221,0.11704829501453029
E36,***超硬材料有限公司,D,是,0.605210857769309,0.16311050321178583,0.18627836711367635,否,0,0.15,0.895164738662031,0.0,0.0
E66,***快递有限公司,B,否,0.46578292267029986,0.1646503937152722,0.201607062076715,是,75,0.15,0.885864918999995,1.035469726213451,-0.010317496516757015
E34,***建设工程有限公司,B,否,0.555707853235013,0.176030898083899,0.20285702295200778,是,75,0.15,0.885864918999995,1.041889623572128,-0.018342368215103294
E97,***美工装饰部,B,否,0.4478476333664554,0.17486378558399815,0.21259264368895278,是,74,0.15,0.885864918999995,1.0773339701705062,-0.07976806361307694
E53,***文化传媒有限公司,C,否,0.5167519616395551,0.18280368740800884,0.21284812250325244,是,74,0.15,0.895164738662031,0.9907410915278487,-0.07475496355835444
E57,***机械设备有限公司,B,否,0.4666060467966639,0.18835556797623396,0.22285940649894415,是,73,0.15,0.885864918999995,1.1141001468618075,-0.14284604662720463
E48,***化工有限公司,A,否,0.5749226349539558,0.20422638262860024,0.2263114808703446,是,72,0.15,0.922060686952494,0.7619858504840933,-0.11073773219205182
E42,***园艺场,A,否,0.47539041735033205,0.197814604551087,0.23049410236094509,是,72,0.15,0.922060686952494,0.7760686463789872,-0.12834122706066908
E65,***商贸有限公司,B,否,0.45472469218564293,0.20547686847546695,0.23945671240935595,是,71,0.15,0.885864918999995,1.1642755199672457,-0.23980578730900337
E25,***通讯设备有限公司,C,否,0.580814918037988,0.22069478481938165,0.24054381453364468,是,71,0.15,0.895164738662031,1.074264377910317,-0.22633493913852595
E51,***物流有限公司,B,否,0.5398793450785411,0.22907985770854467,0.2521839374298361,是,69,0.15,0.885864918999995,1.1916176127938178,-0.3082239276422203
E81,***机械设备有限公司,A,否,0.5117200652329242,0.23688036327389872,0.26202032042321644,是,68,0.15,0.922060686952494,0.833204698153534,-0.24652487960735647
E95,***兰花店,B,否,0.44232059044683897,0.24206807374752953,0.27362920732809265,是,67,0.15,0.885864918999995,1.2554738080428327,-0.42228469600349045
E104,***管理咨询有限责任公司,C,否,0.3808234832596774,0.24041379713192373,0.2782900690927636,是,67,0.15,0.895164738662031,1.1728194072682736,-0.41242988263875335
E121,***药业连锁有限公司***药店,D,是,0.44995481852626573,0.2489353526278637,0.2790463355124507,否,0,0.15,0.895164738662031,0.0,-0.0
E37,***木业有限公司,B,否,0.5947790505334024,0.275647744735176,0.28860506520831813,是,65,0.15,0.885864918999995,1.2846585372879618,-0.49300613185990305
E41,***物业发展有限公司,C,否,0.5656546728685654,0.2908357042676551,0.30518666655403304,是,64,0.15,0.895164738662031,1.2285820394901377,-0.5293090405181693
E69,***电子器材经营部,C,否,0.3284437994926573,0.2770213381251989,0.3164748243634133,是,62,0.15,0.895164738662031,1.2342112181877778,-0.5677960922916101
E33,***园林有限责任公司,B,否,0.5835717142322311,0.31030213469737034,0.3209147498044102,是,62,0.15,0.885864918999995,1.3625478718244446,-0.6417285864805091
E22,***物流有限公司,A,否,0.568395790004737,0.3126399777364188,0.3245364009623032,是,61,0.15,0.922060686952494,0.9257656758867747,-0.4440623804737884
E32,***建筑劳务有限公司,B,否,0.522993807689417,0.3289969614364401,0.34379788452385435,是,36,0.15,0.885864918999995,0.8475710269916265,-0.44313434633950605
E59,***商贸有限公司,A,否,0.584597101606112,0.33612495236050616,0.34405274696384436,是,59,0.15,0.922060686952494,0.949259310166618,-0.49681121723784444
E58,***油气工程建设有限责任公司,B,否,0.5334210984028358,0.33629921667393686,0.34932718516625955,是,10,0.15,0.885864918999995,0.23922291944672872,-0.12782602780840335
E56,***家居材料***有限公司,C,否,0.5642704601574065,0.3631698669012982,0.37042583419542774,是,10,0.15,0.895164738662031,0.23300213480527715,-0.13399977649964287
E50,***建筑劳务有限公司,C,否,0.42242046890071466,0.3514046303184406,0.3740221203965251,是,10,0.15,0.895164738662031,0.2352642404277062,-0.13682740852767916
E79,***鞋业有限公司,B,否,0.4772774214755848,0.35897209569469185,0.37534714397766417,是,10,0.15,0.885864918999995,0.2570416600860675,-0.15009945360757682
E26,***金属材料有限公司,A,否,0.5842453128665644,0.38216879099862683,0.38552738061210773,是,55,0.15,0.922060686952494,0.9915753937950981,-0.5964699096019481
E88,***贸易有限公司,A,否,0.5289475781617137,0.380488032384917,0.38954447133025394,是,55,0.15,0.922060686952494,1.0019073403988183,-0.6093848428565983
E35,***商贸有限公司,B,否,0.5853828124924509,0.3885233400303314,0.39113272477805316,是,10,0.15,0.885864918999995,0.26785179134577464,-0.1636121176822107
E71,***农业科技有限公司,B,否,0.4748497645073319,0.40140777814537937,0.4137820238801082,是,10,0.15,0.885864918999995,0.28336226887141297,-0.1830002145892587
E91,***科技实业有限公司,A,否,0.555755429589025,0.42409964445595844,0.42611413705146006,是,51,0.15,0.922060686952494,1.0162579195216217,-0.6740866545886061
E44,***商贸有限公司,C,否,0.555913333880942,0.428572171593815,0.4301236210463393,是,10,0.15,0.895164738662031,0.2705527333201592,-0.18093802464324554
E74,***蔬菜专业合作社,B,否,0.487780624086505,0.42570830543958893,0.4343594124869795,是,10,0.15,0.885864918999995,0.297453880363896,-0.20061472895486243
E62,***工程造价咨询有限公司***分公司,B,否,0.505835655554707,0.44116507509873226,0.44646500203338835,是,10,0.15,0.885864918999995,0.3057439150244891,-0.21097727228060387
E64,***图书有限责任公司,A,否,0.4977808403100113,0.44065908024729444,0.4468150881915639,是,10,0.15,0.922060686952494,0.2089467661974678,-0.14427448817557578
E83,***社会福利院（***社会福利社会化服务中心）,B,否,0.5709289879071413,0.461400601328077,0.45816764240455515,是,10,0.15,0.885864918999995,0.31375800586455144,-0.22099488583068175
E38,***建设工程有限公司,B,否,0.5107094645946546,0.4629613382065585,0.46559425792643716,是,10,0.15,0.885864918999995,0.3188438300494268,-0.227352166061776
E93,***电脑设计事务所,B,否,0.5342807305280154,0.4763822992140187,0.4753159962398153,是,10,0.15,0.885864918999995,0.3255013783885764,-0.235674101485713
